id,sequencePath,length,composer,ensemble,composition,movement,id_cat,composer_cat,ensemble_cat,composition_cat,movement_cat
2302,train_data/2302.wav,1733277,Bach,Solo Piano,"WTK I, No. 5: Prelude and Fugue in D major",2. Fugue,165,0,12,113,76
2659,train_data/2659.wav,1733277,Bach,Solo Violin,Violin Partita No 1 in B minor,6. Double,327,0,13,83,193
2222,train_data/2222.wav,3232497,Bach,Solo Cello,Cello Suite 3,6. Gigue,131,0,10,4,194
1789,train_data/1789.wav,7381245,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,31,7,14,70,62
1788,train_data/1788.wav,8211069,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,30,7,14,70,1
2476,train_data/2476.wav,7590975,Beethoven,Solo Piano,Piano Sonata No 3 in C major,2. Adagio,245,1,12,37,38
2220,train_data/2220.wav,4832027,Bach,Solo Cello,Cello Suite 3,4. Sarabande,129,0,10,4,187
2528,train_data/2528.wav,7419612,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,2. Adagio molto,275,1,12,40,49
2542,train_data/2542.wav,10415961,Beethoven,Solo Piano,Piano Sonata No 28 in A major,3. Langsam und sehnsuchtsvoll,284,1,12,35,125
2342,train_data/2342.wav,3076598,Beethoven,Accompanied Violin,Violin Sonata No 8 in G major,3. Allegro vivace,185,1,2,92,115
1775,train_data/1775.wav,9251527,Schubert,Solo Piano,Piano Sonata in D major,1. Allegro vivace,27,9,12,48,19
2512,train_data/2512.wav,6776373,Beethoven,Solo Piano,Piano Sonata No 2 in A major,4. Rondo: Grazioso,268,1,12,25,184
2348,train_data/2348.wav,7899429,Beethoven,Solo Piano,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,189,1,12,19,139
1873,train_data/1873.wav,5866058,Mozart,Piano Trio,Piano Trio No 3 in B-flat major,3. Allegretto,51,7,9,50,110
2322,train_data/2322.wav,10335713,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,178,1,12,31,8
2330,train_data/2330.wav,8514665,Beethoven,Accompanied Violin,Violin Sonata No 1 in D major,1. Allegro con brio,180,1,2,85,9
1772,train_data/1772.wav,6679406,Schubert,Solo Piano,Piano Sonata in D-flat major,2. Andante molto,25,9,12,49,65
2325,train_data/2325.wav,8821447,Beethoven,Solo Piano,Piano Sonata No 23 in F minor,1. Allegro assai,179,1,12,31,8
1777,train_data/1777.wav,10071981,Schubert,Solo Piano,Piano Sonata in D major,3. Scherzo. Allegro vivace,29,9,12,48,150
1776,train_data/1776.wav,11617594,Schubert,Solo Piano,Piano Sonata in D major,2. Con moto,28,9,12,48,73
1771,train_data/1771.wav,10357865,Schubert,Solo Piano,Piano Sonata in D-flat major,1. Allegro moderato,24,9,12,49,14
2154,train_data/2154.wav,14307579,Brahms,String Sextet,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,90,2,15,80,12
2156,train_data/2156.wav,3072418,Brahms,String Sextet,String Sextet No 1 in B-flat major,3. Scherzo. Allegro molto,92,2,15,80,149
2480,train_data/2480.wav,6329992,Beethoven,String Quartet,String Quartet No 5 in A major,1. Allegro,248,1,14,73,6
2486,train_data/2486.wav,7170508,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,"2. Largo, con gran espressione",252,1,12,39,85
2529,train_data/2529.wav,4408216,Beethoven,Solo Piano,Piano Sonata No 5 in C minor,3. Finale: Prestissimo,276,1,12,40,122
2487,train_data/2487.wav,5435142,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,3. Allegro,253,1,12,39,112
2157,train_data/2157.wav,10576458,Brahms,String Sextet,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,93,2,15,80,185
2155,train_data/2155.wav,9697907,Brahms,String Sextet,String Sextet No 1 in B-flat major,"2. Andante, ma moderato",91,2,15,80,69
2481,train_data/2481.wav,5671289,Beethoven,String Quartet,String Quartet No 5 in A major,2. Menuetto,249,1,14,73,87
2383,train_data/2383.wav,6141075,Beethoven,String Quartet,String Quartet No 13 in B-flat major,"3. Andante con moto, ma non troppo. Poco scherzoso",207,1,14,64,120
2462,train_data/2462.wav,7830884,Beethoven,Accompanied Violin,Violin Sonata No 4 in A minor,"2. Andante scherzoso, piu allegretto",239,1,2,90,67
2509,train_data/2509.wav,7749800,Beethoven,Solo Piano,Piano Sonata No 2 in A major,1. Allegro vivace,266,1,12,25,19
2247,train_data/2247.wav,1299854,Bach,Solo Piano,"WTK I, No. 9: Prelude and Fugue in E major",2. Fugue,149,0,12,117,76
2466,train_data/2466.wav,4891795,Beethoven,Accompanied Violin,Violin Sonata No 4 in A minor,3. Allegro molto,241,1,2,90,113
2158,train_data/2158.wav,7714273,Brahms,Horn Piano Trio,Horn Trio in E-flat major,1. Andante,94,2,5,8,22
2150,train_data/2150.wav,9585476,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,3. Andante con moto,88,2,7,11,119
2243,train_data/2243.wav,3103347,Bach,Solo Violin,Violin Sonata No 1 in G minor,3. Siciliana,147,0,13,86,157
2159,train_data/2159.wav,7464334,Brahms,Horn Piano Trio,Horn Trio in E-flat major,2. Scherzo (Allegro),95,2,5,8,95
2151,train_data/2151.wav,8533473,Brahms,Piano Quartet,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,89,2,7,11,178
2483,train_data/2483.wav,5879014,Beethoven,String Quartet,String Quartet No 5 in A major,4. Allegro,251,1,14,73,161
2242,train_data/2242.wav,5003808,Bach,Solo Violin,Violin Sonata No 1 in G minor,2. Fuga,146,0,13,86,75
2244,train_data/2244.wav,3429774,Bach,Solo Violin,Violin Sonata No 1 in G minor,4. Presto,148,0,13,86,177
2357,train_data/2357.wav,5722698,Beethoven,Solo Piano,Piano Sonata No 15 in D major,2. Andante,191,1,12,20,61
2463,train_data/2463.wav,4955743,Beethoven,Accompanied Violin,Violin Sonata No 4 in A minor,3. Allegro molto,240,1,2,90,113
1790,train_data/1790.wav,5181693,Mozart,String Quartet,String Quartet No 19 in C major,3. Menuetto. Allegro,32,7,14,70,132
1792,train_data/1792.wav,7564644,Mozart,String Quartet,String Quartet No 19 in C major,1. Adagio - Allegro,34,7,14,70,1
1793,train_data/1793.wav,8078316,Mozart,String Quartet,String Quartet No 19 in C major,2. Andante cantabile,35,7,14,70,62
1791,train_data/1791.wav,5624445,Mozart,String Quartet,String Quartet No 19 in C major,4. Allegro molto,33,7,14,70,164
2502,train_data/2502.wav,4283664,Beethoven,Accompanied Violin,Violin Sonata No 3 in E-flat major,3. Rondo: Allegro molto,261,1,2,89,147
2295,train_data/2295.wav,4151171,Bach,Solo Cello,Cello Suite 4,3. Courante,160,0,10,5,121
2506,train_data/2506.wav,3007217,Beethoven,Wind Octet,Octet in E-flat major for Winds,3. Menuetto,264,1,18,9,128
2505,train_data/2505.wav,7829630,Beethoven,Wind Octet,Octet in E-flat major for Winds,2. Andante,263,1,18,9,61
2379,train_data/2379.wav,5348206,Beethoven,String Quartet,String Quartet No 8 in E minor,"4. Finale, Presto, alla breve",204,1,14,76,168
2294,train_data/2294.wav,3655054,Bach,Solo Cello,Cello Suite 4,2. Allemande,159,0,10,5,60
2555,train_data/2555.wav,3579403,Beethoven,Solo Piano,Piano Sonata No 30 in E major,1. Vivace ma non troppo / Adagio espresivo,286,1,12,38,36
1829,train_data/1829.wav,6741264,Mozart,Piano Trio,Piano Trio No 4 in E major,3. Allegro,47,7,9,51,112
2550,train_data/2550.wav,2884755,Beethoven,Solo Piano,Piano Sonata No 24 in F-sharp major,2. Allegro vivace,285,1,12,32,59
2491,train_data/2491.wav,5297215,Beethoven,Solo Piano,Piano Sonata No 4 in E-flat major,3. Allegro,256,1,12,39,112
2314,train_data/2314.wav,9089777,Beethoven,String Quartet,String Quartet No 15 in A minor,2. Allegro ma non tanto,173,1,14,66,56
2319,train_data/2319.wav,9934472,Beethoven,Clarinet-Cello-Piano Trio,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,176,1,4,82,99
2504,train_data/2504.wav,7366949,Beethoven,Wind Octet,Octet in E-flat major for Winds,1. Allegro,262,1,18,9,6
